Contingence entre 'Nom' et 'Ville':
Ville    Bordeaux  Lille  Lyon  Marseille  Montpellier  Nantes  Nice  Paris  Strasbourg  Toulouse
Nom                                                                                              
Alice           0      0     0          0            0       0     0      1           0         0
Bob             0      0     1          0            0       0     0      0           0         0
Charlie         0      0     0          1            0       0     0      0           0         0
Diana           0      0     0          0            0       0     0      0           0         1
Fatima          1      0     0          0            0       0     0      0           0         0
Georges         0      1     0          0            0       0     0      0           0         0
Hélène          0      0     0          0            0       0     0      0           1         0
Ivan            0      0     0          0            0       1     0      0           0         0
Julie           0      0     0          0            1       0     0      0           0         0
Éric            0      0     0          0            0       0     1      0           0         0

